"","x"
"1",0.08
"2",0.104
"3",0.148
"4",0.108
"5",0.148
"6",0.156
"7",0.128
"8",0.188
"9",0.168
"10",0.172
"11",0.2
"12",0.188
"13",0.192
"14",0.208
"15",0.188
"16",0.148
"17",0.188
"18",0.148
"19",0.132
"20",0.104
"21",0.188
"22",0.156
"23",0.124
"24",0.164
"25",0.14
"26",0.124
"27",0.152
"28",0.128
"29",0.1
"30",0.132
"31",0.124
"32",0.148
"33",0.12
"34",0.064
"35",0.096
"36",0.08
"37",0.124
"38",0.112
"39",0.112
"40",0.084
"41",0.076
"42",0.052
"43",0.084
"44",0.036
"45",0.052
"46",0.072
"47",0.048
"48",0.068
"49",0.056
"50",0.036
