"","x"
"1",0.244
"2",0.224
"3",0.256
"4",0.264
"5",0.236
"6",0.3
"7",0.224
"8",0.304
"9",0.216
"10",0.24
"11",0.256
"12",0.212
"13",0.228
"14",0.224
"15",0.2
"16",0.212
"17",0.188
"18",0.216
"19",0.176
"20",0.168
"21",0.176
"22",0.176
"23",0.144
"24",0.132
"25",0.124
"26",0.132
"27",0.128
"28",0.14
"29",0.104
"30",0.144
"31",0.112
"32",0.104
"33",0.068
"34",0.112
"35",0.076
"36",0.084
"37",0.132
"38",0.052
"39",0.096
"40",0.1
"41",0.052
"42",0.06
"43",0.036
"44",0.104
"45",0.08
"46",0.072
"47",0.048
"48",0.06
"49",0.064
"50",0.044
