"","x"
"1",0.156
"2",0.152
"3",0.144
"4",0.14
"5",0.136
"6",0.136
"7",0.136
"8",0.14
"9",0.156
"10",0.104
"11",0.148
"12",0.092
"13",0.14
"14",0.104
"15",0.116
"16",0.172
"17",0.112
"18",0.136
"19",0.124
"20",0.108
"21",0.092
"22",0.112
"23",0.112
"24",0.104
"25",0.076
"26",0.096
"27",0.1
"28",0.096
"29",0.128
"30",0.108
"31",0.1
"32",0.108
"33",0.084
"34",0.076
"35",0.064
"36",0.064
"37",0.1
"38",0.04
"39",0.072
"40",0.084
"41",0.076
"42",0.04
"43",0.044
"44",0.052
"45",0.076
"46",0.072
"47",0.044
"48",0.052
"49",0.036
"50",0.036
