"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0.992
"8",1
"9",0.988
"10",0.988
"11",0.964
"12",0.964
"13",0.984
"14",0.972
"15",0.94
"16",0.896
"17",0.9
"18",0.88
"19",0.772
"20",0.776
"21",0.796
"22",0.748
"23",0.692
"24",0.62
"25",0.624
"26",0.58
"27",0.58
"28",0.508
"29",0.468
"30",0.456
"31",0.372
"32",0.364
"33",0.348
"34",0.296
"35",0.288
"36",0.228
"37",0.192
"38",0.184
"39",0.148
"40",0.16
"41",0.208
"42",0.136
"43",0.104
"44",0.068
"45",0.1
"46",0.104
"47",0.072
"48",0.076
"49",0.048
"50",0.068
