"","x"
"1",0.996
"2",0.984
"3",0.98
"4",0.96
"5",0.96
"6",0.932
"7",0.9
"8",0.9
"9",0.844
"10",0.868
"11",0.736
"12",0.808
"13",0.756
"14",0.74
"15",0.712
"16",0.64
"17",0.636
"18",0.568
"19",0.552
"20",0.516
"21",0.516
"22",0.432
"23",0.432
"24",0.38
"25",0.384
"26",0.352
"27",0.316
"28",0.316
"29",0.3
"30",0.288
"31",0.204
"32",0.208
"33",0.22
"34",0.224
"35",0.184
"36",0.152
"37",0.148
"38",0.156
"39",0.104
"40",0.12
"41",0.076
"42",0.148
"43",0.132
"44",0.088
"45",0.056
"46",0.052
"47",0.076
"48",0.064
"49",0.04
"50",0.036
