"","x"
"1",0.556
"2",0.548
"3",0.492
"4",0.548
"5",0.476
"6",0.464
"7",0.412
"8",0.46
"9",0.46
"10",0.404
"11",0.472
"12",0.444
"13",0.428
"14",0.368
"15",0.364
"16",0.352
"17",0.296
"18",0.32
"19",0.316
"20",0.292
"21",0.288
"22",0.268
"23",0.244
"24",0.232
"25",0.2
"26",0.164
"27",0.22
"28",0.192
"29",0.14
"30",0.18
"31",0.164
"32",0.136
"33",0.148
"34",0.108
"35",0.124
"36",0.14
"37",0.124
"38",0.132
"39",0.084
"40",0.108
"41",0.072
"42",0.088
"43",0.1
"44",0.08
"45",0.064
"46",0.052
"47",0.044
"48",0.064
"49",0.032
"50",0.036
