"","x"
"1",0.912
"2",0.868
"3",0.82
"4",0.856
"5",0.796
"6",0.764
"7",0.708
"8",0.656
"9",0.6
"10",0.636
"11",0.588
"12",0.504
"13",0.556
"14",0.492
"15",0.468
"16",0.448
"17",0.48
"18",0.42
"19",0.388
"20",0.38
"21",0.368
"22",0.296
"23",0.276
"24",0.296
"25",0.216
"26",0.256
"27",0.24
"28",0.2
"29",0.192
"30",0.172
"31",0.188
"32",0.128
"33",0.132
"34",0.144
"35",0.128
"36",0.144
"37",0.076
"38",0.132
"39",0.092
"40",0.088
"41",0.068
"42",0.08
"43",0.072
"44",0.06
"45",0.068
"46",0.072
"47",0.028
"48",0.056
"49",0.044
"50",0.056
